


      Monthly sea levels for SUVA
      ---------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        7 2007     0     7440      0.293      2.005      1.168     0.423
        8 2007     0     7440      0.318      1.960      1.172     0.425
        9 2007     0     7200      0.332      2.094      1.197     0.422
       10 2007     0     7440      0.299      2.141      1.213     0.420
       11 2007     0     7200      0.280      2.174      1.235     0.422
       12 2007     0     7440      0.302      2.148      1.234     0.407
        1 2008     0     7440      0.255      2.138      1.229     0.393
        2 2008     0     6960      0.405      2.002      1.222     0.401
        3 2008  1780     5660      0.567      1.993      1.282     0.365
        4 2008     0     7200      0.439      2.117      1.224     0.399
        5 2008     0     7440      0.319      2.100      1.175     0.415
        6 2008     0     7200      0.188      2.027      1.157     0.422
        7 2008     0     7440      0.200      2.080      1.170     0.423
        8 2008     0     7440      0.353      2.091      1.229     0.417
        9 2008     0     7200      0.470      2.007      1.265     0.398
       10 2008     0     7440      0.486      2.084      1.268     0.397
       11 2008     0     7200      0.354      2.118      1.269     0.402
       12 2008     0     7440      0.365      2.194      1.282     0.400
        1 2009     0     7440      0.440      2.293      1.308     0.402
        2 2009     0     6720      0.416      2.154      1.311     0.400
        3 2009     0     7440      0.480      2.151      1.317     0.420
        4 2009     0     7200      0.431      2.058      1.250     0.416
        5 2009     0     7440      0.308      2.043      1.199     0.411
        6 2009     0     7200      0.149      2.035      1.188     0.406
        7 2009     0     7440      0.212      2.075      1.223     0.410
        8 2009     0     7440      0.352      2.181      1.248     0.408
        9 2009     0     7200      0.424      2.075      1.252     0.404
       10 2009     0     7440      0.390      2.026      1.191     0.410
       11 2009     0     7200      0.334      1.947      1.180     0.404
       12 2009     0     7440      0.307      2.028      1.174     0.404
        1 2010     0     7440      0.273      2.152      1.247     0.414
        2 2010     0     6720      0.360      2.142      1.215     0.403
        3 2010     0     7440      0.321      2.112      1.183     0.427
        4 2010     0     7200      0.376      2.015      1.197     0.406
        5 2010     0     7440      0.354      1.967      1.154     0.409
        6 2010     0     7200      0.247      1.929      1.141     0.418
        7 2010     0     7440      0.223      2.021      1.118     0.418
        8 2010     0     7440      0.118      1.954      1.104     0.421
        9 2010     0     7200      0.204      2.060      1.099     0.423
       10 2010     0     7440      0.280      2.079      1.158     0.421
       11 2010     0     7200      0.271      2.054      1.170     0.435
       12 2010     0     7440      0.297      2.006      1.174     0.438
        1 2011     0     7440      0.329      2.080      1.210     0.427
        2 2011     0     6720      0.370      2.123      1.218     0.429
        3 2011     0     7440      0.366      2.148      1.248     0.415
        4 2011     0     7200      0.313      2.162      1.219     0.409
        5 2011     0     7440      0.357      2.152      1.233     0.411
        6 2011     0     7200      0.352      2.087      1.227     0.419
        7 2011   259     7181      0.375      2.058      1.237     0.430
        8 2011     0     7440      0.356      2.109      1.231     0.439
        9 2011     0     7200      0.427      2.200      1.244     0.430
       10 2011     0     7440      0.328      2.191      1.273     0.428
       11 2011     0     7200      0.269      2.078      1.230     0.416
       12 2011     0     7440      0.367      2.166      1.250     0.415
        1 2012     0     7440      0.441      2.092      1.287     0.406
        2 2012  2105     4855      0.420      2.053      1.279     0.415
        3 2012     0     7440      0.471      2.163      1.323     0.415
        4 2012     0     7200      0.424      2.287      1.323     0.420
        5 2012     0     7440      0.334      2.138      1.238     0.418
        6 2012     0     7200      0.231      2.083      1.206     0.428
        7 2012     0     7440      0.383      2.154      1.256     0.425
        8 2012     0     7440      0.403      2.069      1.249     0.423
